Hashing,StatsAccumulator,Hasher,PrimitiveSink,ExecutionSequencer,PairedStatsAccumulator,MessageDigestHashFunction,BigDecimalMath,ForwardingBlockingDeque,ForwardingBlockingQueue,LongAdder,LittleEndianByteArray,Predicates,ExecutionList,SmallCharMatcher,Suppliers,Quantiles,LongAddables,BigIntegerMath,LinearTransformation,Throwables,HashCode,HashingInputStream,Present,LongAddable,StandardSystemProperty,MacHashFunction,DoubleMath,ForwardingCondition,Stats,MathPreconditions,DoubleUtils,Funnels,HashingOutputStream,Strings,FakeTimeLimiter,PairedStats,Preconditions,IntMath,FluentFuture,ElementTypesAreNonnullByDefault,Splitter,Stopwatch,ToDoubleRounder,LongMath,ForwardingExecutorService,Murmur3_32HashFunction,Murmur3_128HashFunction
0.0,1.586848926395867e+20,1.7106806702311863e+20,1.797966208171013e+20,1.304381782530969e+20,1.7402623553877135e+20,1.41692129803518e+20,1.7402623553856222e+20,1.7205977427023315e+20,1.7500118006081716e+20,1.5211574852894828e+20,1.4048621740707717e+20,1.1666745337412076e+20,1.6602069666283258e+20,1.543365338613932e+20,1.3680471549107714e+20,1.3302136324608824e+20,1.710680670230613e+20,1.2646450587119818e+20,1.6081498650888687e+20,1.2780279187932984e+20,1.4048621740706747e+20,1.6602069666291024e+20,1.6499269484898694e+20,1.986775139817537e+20,1.7304579824098368e+20,1.543365338614618e+20,1.3926986362609007e+20,1.8538748355456523e+20,1.3043817825311934e+20,1.740262355386015e+20,1.6499269484897023e+20,1.380427924504275e+20,1.7402623553865862e+20,1.4872240533889194e+20,1.7007057707938192e+20,1.543365338614807e+20,1.6499269484897236e+20,1.4641649195342673e+20,1.475739525893897e+20,2.003829316483719e+20,1.3555533118868528e+20,1.660206966629158e+20,1.6291723242088396e+20,1.2374452113693144e+20,1.700705770793601e+20,1.2511190542199657e+20,1.4986205729502092e+20
1.0270712426371036e+20,0.0,1.4872240533869452e+20,1.6395824769300788e+20,1.1811679407989046e+20,1.3555533118851487e+20,1.2646450587111021e+20,1.5211574852869587e+20,1.4641649195314423e+20,1.4641649195312092e+20,1.2646450587107356e+20,1.1519987981709504e+20,1.0270712426370055e+20,1.4757395258921445e+20,1.2374452113673018e+20,1.1811679407989652e+20,1.0435054260255947e+20,1.4757395258917903e+20,9.585209390949168e+19,1.4048621740699178e+20,1.1068046444207668e+20,1.1954856507138367e+20,1.3804279245019582e+20,1.4288786517806526e+20,1.917041878172907e+20,1.576090504542014e+20,1.3429432395578828e+20,1.0270712426369809e+20,1.670423721313263e+20,6.902139622523989e+19,1.521157485287146e+20,1.3680471549089915e+20,1.1519987981709754e+20,1.5543502839202732e+20,1.2374452113685062e+20,1.4288786517799494e+20,1.251119054219171e+20,1.4169212980338593e+20,1.1068046444205684e+20,1.2780279187932026e+20,1.8812061598658855e+20,1.0596847695588894e+20,1.4407367692282354e+20,1.3804279245024646e+20,1.0103697841684352e+20,1.4524980808579088e+20,1.0270712426367502e+20,1.2374452113679006e+20
8.846747673107816e+19,1.1811679407982915e+20,0.0,1.0913240967815827e+20,9.223372036837668e+19,1.4524980808593034e+20,9.761099463560797e+19,1.3555533118835393e+20,1.2912720851554709e+20,1.2912720851550364e+20,1.106804644419738e+20,9.761099463561907e+19,7.826290695190164e+19,1.3926986362583117e+20,1.1811679407985074e+20,9.037022079244981e+19,9.585209390952595e+19,1.3680471549086699e+20,9.585209390956474e+19,1.22361857392079e+20,9.037022079245925e+19,9.761099463561647e+19,1.2096339023647939e+20,1.2236185739203346e+20,1.85387483553443e+20,1.3926986362581595e+20,1.0913240967825618e+20,9.93387569918023e+19,1.5760905045403206e+20,9.406030799395797e+19,1.392698636258177e+20,1.2780279187921573e+20,7.144393258908628e+19,1.317361025415719e+20,1.0270712426363835e+20,1.251119054218042e+20,1.1954856507140397e+20,1.2780279187920686e+20,1.0756207731016632e+20,1.0596847695590457e+20,1.7597072310256497e+20,9.03702207924352e+19,1.3926986362598665e+20,1.2646450587099049e+20,9.037022079249932e+19,1.2096339023654638e+20,6.902139622523475e+19,1.18116794079873e+20
8.040749325456957e+19,1.059684769558409e+20,2.608763565063144e+19,0.0,8.04074932545124e+19,1.2780279187925266e+20,8.249634742455768e+19,1.251119054216654e+20,1.1954856507123728e+20,1.181167940796641e+20,9.933875699172059e+19,8.652289912061883e+19,7.14439325891339e+19,1.22361857391998e+20,1.027071242636297e+20,9.037022079245086e+19,8.249634742460255e+19,1.2374452113669392e+20,7.826290695191732e+19,1.1220716365727344e+20,8.040749325454369e+19,9.037022079245286e+19,1.0596847695574191e+20,1.1666745337394263e+20,1.7500118005948164e+20,1.2236185739195924e+20,9.585209390948847e+19,8.453360104311818e+19,1.4288786517785022e+20,8.846747673105421e+19,1.2374452113660704e+20,1.1220716365726394e+20,6.90213962252119e+19,1.2096339023650148e+20,8.249634742456621e+19,1.1954856507129188e+20,1.0913240967831128e+20,1.151998798169854e+20,8.453360104311515e+19,1.0103697841678634e+20,1.6704237213052217e+20,8.04074932545487e+19,1.1811679407979556e+20,1.1371336747682166e+20,6.902139622525006e+19,1.12207163657258e+20,4.518511039624359e+19,1.0596847695589161e+20
1.2374452113690737e+20,1.4641649195329048e+20,1.7402623553877072e+20,1.853874835548114e+20,0.0,1.670423721316388e+20,1.3804279245036374e+20,1.7106806702297245e+20,1.6906720208596858e+20,1.7304579824096448e+20,1.5211574852896126e+20,1.3302136324600549e+20,1.181167940799356e+20,1.608149865087699e+20,1.4524980808591545e+20,1.355553311886653e+20,1.317361025418893e+20,1.6602069666282888e+20,1.264645058711984e+20,1.5652581390361546e+20,1.237445211368882e+20,1.3804279245041444e+20,1.6081498650888248e+20,1.5975348984897248e+20,1.978192917666693e+20,1.6602069666284647e+20,1.4757395258937015e+20,1.4048621740711679e+20,1.8630298286832963e+20,1.2374452113684573e+20,1.6906720208587856e+20,1.6081498650886858e+20,1.3926986362613583e+20,1.7106806702306004e+20,1.4169212980352424e+20,1.6395824769312807e+20,1.4757395258938794e+20,1.6081498650888647e+20,1.404862174070795e+20,1.392698636260686e+20,1.934710840426684e+20,1.3555533118869843e+20,1.5975348984899833e+20,1.5868489263951462e+20,1.237445211369398e+20,1.6499269484896833e+20,1.342943239558742e+20,1.4872240533886825e+20
8.453360104312213e+19,9.40603079938763e+19,1.304381782529072e+20,1.4288786517791493e+20,9.585209390951457e+19,0.0,9.40603079939032e+19,1.3555533118833027e+20,1.3429432395560324e+20,1.3680471549083646e+20,1.0435054260244981e+20,9.761099463563036e+19,6.902139622524948e+19,1.2780279187914857e+20,1.0435054260236855e+20,8.453360104309372e+19,7.144393258915669e+19,1.304381782529432e+20,6.390139593966759e+19,1.0270712426356564e+20,8.04074932545332e+19,8.652289912063061e+19,1.1666745337390529e+20,1.2096339023657012e+20,1.8261344955270562e+20,1.3429432395562728e+20,1.0596847695589907e+20,7.82629069519023e+19,1.5868489263930458e+20,7.14439325891334e+19,1.3429432395557057e+20,1.1371336747686334e+20,8.652289912062496e+19,1.3555533118841623e+20,9.933875699178686e+19,1.2096339023653143e+20,6.902139622521471e+19,1.2096339023655012e+20,8.040749325450165e+19,1.0756207731015187e+20,1.8167935928658097e+20,8.65228991206292e+19,1.1954856507130297e+20,1.1519987981694791e+20,6.651068162306797e+19,1.278027918791617e+20,8.040749325452622e+19,1.0435054260246548e+20
9.585209390953269e+19,1.3173610254170379e+20,1.5433653386133252e+20,1.6704237213150426e+20,1.0596847695587118e+20,1.618695223097451e+20,0.0,1.5323016451515938e+20,1.5652581390348475e+20,1.576090504541564e+20,1.264645058710755e+20,1.1666745337408442e+20,9.933875699185294e+19,1.509931077352349e+20,1.3302136324590032e+20,1.1220716365742046e+20,1.0756207731017192e+20,1.5323016451533996e+20,1.075620773101849e+20,1.416921298034075e+20,1.0913240967829722e+20,1.1371336747701477e+20,1.4169212980338624e+20,1.464164919533252e+20,1.9347108404228866e+20,1.4986205729477008e+20,1.0756207731016733e+20,1.1811679407990966e+20,1.7106806702283443e+20,1.1371336747698908e+20,1.5760905045412043e+20,1.4407367692282053e+20,9.761099463564068e+19,1.4986205729477444e+20,1.223618573921728e+20,1.5323016451541048e+20,1.3555533118866525e+20,1.4986205729490806e+20,1.2646450587116051e+20,1.2646450587111295e+20,1.9170418781766415e+20,1.1220716365736034e+20,1.565258139036173e+20,1.4169212980336473e+20,1.0270712426373192e+20,1.509931077353032e+20,1.0435054260251722e+20,1.2511190542191867e+20
6.90213962252214e+19,8.846747673097175e+19,1.209633902365649e+20,1.3173610254157454e+20,8.453360104314103e+19,1.2096339023658444e+20,8.652289912057997e+19,0.0,1.1811679407973728e+20,1.2096339023650564e+20,8.846747673103062e+19,7.60578742645226e+19,7.605787426455724e+19,1.2236185739204277e+20,8.84674767310006e+19,8.846747673103837e+19,7.378697629474907e+19,1.166674533739796e+20,4.880549731784266e+19,9.761099463555387e+19,6.902139622525202e+19,9.585209390950559e+19,1.0103697841668306e+20,1.1519987981697905e+20,1.8167935928630365e+20,1.1954856507119496e+20,8.846747673100037e+19,7.82629069519211e+19,1.4641649195309746e+20,7.378697629473114e+19,1.1954856507122393e+20,1.0596847695582957e+20,8.453360104316545e+19,1.1954856507127315e+20,8.652289912058397e+19,1.2374452113680163e+20,1.0103697841674764e+20,1.2236185739212477e+20,8.249634742457059e+19,9.223372036839249e+19,1.7304579824007545e+20,6.902139622524063e+19,1.1666745337398839e+20,9.223372036838942e+19,6.118092869614473e+19,1.251119054218481e+20,7.378697629475505e+19,9.58520939094968e+19
7.144393258911664e+19,1.0270712426357246e+20,1.1519987981692363e+20,1.3302136324574713e+20,8.249634742459441e+19,1.2780279187922467e+20,8.249634742451852e+19,1.2374452113655287e+20,0.0,6.902139622505593e+19,9.037022079239261e+19,8.45336010431606e+19,7.378697629473899e+19,1.2780279187914238e+20,9.406030799382066e+19,6.902139622517878e+19,7.605787426454502e+19,1.1954856507120434e+20,7.605787426457716e+19,1.0103697841661923e+20,6.390139593971212e+19,8.249634742456274e+19,1.1068046444193854e+20,1.0596847695573813e+20,1.807404415832462e+20,1.2780279187912512e+20,9.585209390944674e+19,8.249634742460149e+19,1.3926986362577836e+20,7.826290695190867e+19,1.2646450587089348e+20,1.0756207731000328e+20,6.118092869605648e+19,1.2236185739198585e+20,9.933875699178845e+19,1.137133674768717e+20,9.761099463564026e+19,1.1220716365722165e+20,9.22337203684157e+19,7.605787426450149e+19,1.7007057707827685e+20,8.040749325455665e+19,1.1954856507130179e+20,1.075620773100092e+20,7.3786976294763495e+19,9.406030799383739e+19,6.651068162301546e+19,8.84674767310181e+19
6.118092869609535e+19,1.010369784166926e+20,1.151998798169186e+20,1.3302136324573553e+20,7.144393258909985e+19,1.2374452113675977e+20,7.605787426444191e+19,1.181167940795605e+20,4.88054973176143e+19,0.0,8.652289912050177e+19,7.8262906951891e+19,6.651068162304281e+19,1.2096339023647582e+20,9.585209390939472e+19,6.118092869607446e+19,7.378697629474284e+19,1.1811679407969655e+20,6.902139622526465e+19,9.933875699168438e+19,5.833372668705749e+19,7.82629069518507e+19,1.0270712426357254e+20,9.933875699161825e+19,1.7789395752232832e+20,1.2374452113666128e+20,9.037022079238316e+19,7.605787426452562e+19,1.36804715490727e+20,7.378697629474009e+19,1.2236185739192294e+20,1.0435054260236014e+20,6.11809286960397e+19,1.1954856507120178e+20,9.406030799392116e+19,1.0756207731006307e+20,9.223372036841569e+19,1.1068046444191955e+20,8.652289912063182e+19,6.390139593963912e+19,1.7106806702208664e+20,7.378697629473558e+19,1.1068046444195268e+20,1.0270712426353569e+20,6.651068162304086e+19,9.22337203683906e+19,6.118092869608443e+19,8.249634742455381e+19
1.0435054260253111e+20,1.1811679407975372e+20,1.5099310773527898e+20,1.5760905045405594e+20,1.0270712426363201e+20,1.4872240533875602e+20,1.0756207731009282e+20,1.4407367692260462e+20,1.4641649195317572e+20,1.4757395258912686e+20,0.0,1.0435054260251466e+20,9.585209390955004e+19,1.4288786517796951e+20,1.1954856507127738e+20,1.0596847695593457e+20,1.0435054260252998e+20,1.3804279245014288e+20,1.0103697841683179e+20,1.2912720851557895e+20,1.0103697841679414e+20,1.0913240967831278e+20,1.3429432395562369e+20,1.452498080859298e+20,1.8902287831349897e+20,1.4288786517792917e+20,1.209633902366211e+20,1.1220716365741582e+20,1.5975348984866085e+20,9.585209390949655e+19,1.4524980808570007e+20,1.304381782529379e+20,1.0596847695593118e+20,1.4407367692267024e+20,1.1371336747694776e+20,1.475739525892368e+20,1.2780279187931672e+20,1.3926986362591907e+20,1.1068046444205295e+20,1.2096339023664293e+20,1.8538748355378974e+20,1.0596847695590074e+20,1.3926986362591114e+20,1.3555533118850015e+20,9.40603079939941e+19,1.4524980808580768e+20,9.761099463563346e+19,1.166674533740469e+20
1.106804644420903e+20,1.4641649195333201e+20,1.6805783663453068e+20,1.76934953461731e+20,1.2646450587113141e+20,1.6081498650886173e+20,1.3043817825306187e+20,1.649926948487711e+20,1.6291723242083513e+20,1.6291723242080095e+20,1.3804279245037188e+20,0.0,1.0435054260252338e+20,1.5652581390346555e+20,1.4048621740698187e+20,1.2780279187933556e+20,1.2236185739225263e+20,1.5868489263941517e+20,1.166674533741439e+20,1.440736769228056e+20,1.1220716365736795e+20,1.2646450587113318e+20,1.5652581390354792e+20,1.5211574852885017e+20,1.9258966221880518e+20,1.5433653386122232e+20,1.3429432395573636e+20,1.2912720851576706e+20,1.759707231033548e+20,1.2646450587119644e+20,1.6499269484882474e+20,1.4986205729491265e+20,1.2096339023669482e+20,1.6704237213152556e+20,1.3302136324599706e+20,1.5975348984897513e+20,1.3804279245038063e+20,1.509931077353156e+20,1.3555533118868544e+20,1.3680471549101195e+20,1.952219892698949e+20,1.2236185739222696e+20,1.5760905045426435e+20,1.5868489263953494e+20,1.1519987981717301e+20,1.60814986508864e+20,1.264645058711895e+20,1.4169212980353026e+20
1.2374452113688363e+20,1.55435028392128e+20,1.7597072310365454e+20,1.8630298286845864e+20,1.3302136324598771e+20,1.7693495346188596e+20,1.4169212980348966e+20,1.710680670228988e+20,1.690672020858903e+20,1.7106806702300486e+20,1.5433653386143102e+20,1.4048621740706752e+20,0.0,1.6499269484882018e+20,1.543365338613884e+20,1.3429432395582453e+20,1.3804279245046987e+20,1.7402623553867566e+20,1.3302136324607807e+20,1.6395824769316667e+20,1.3173610254183098e+20,1.4288786517821032e+20,1.629172324208394e+20,1.67042372131639e+20,2.0038293164789213e+20,1.7106806702307292e+20,1.4986205729496203e+20,1.4757395258945318e+20,1.8812061598732475e+20,1.4048621740710324e+20,1.7597072310351194e+20,1.6395824769314046e+20,1.330213632459893e+20,1.7402623553861943e+20,1.4288786517816243e+20,1.6805783663450702e+20,1.597534898491392e+20,1.6805783663452707e+20,1.4641649195341529e+20,1.464164919533856e+20,1.952219892698011e+20,1.3680471549108797e+20,1.639582476931058e+20,1.649926948489503e+20,1.2912720851581477e+20,1.6906720208598516e+20,1.392698636261211e+20,1.554350283922175e+20
7.82629069519327e+19,9.585209390940964e+19,1.4169212980337494e+20,1.543365338612712e+20,6.902139622516241e+19,1.209633902365851e+20,9.223372036833201e+19,1.3429432395550651e+20,1.3555533118848744e+20,1.3804279245022383e+20,9.933875699176037e+19,8.453360104313129e+19,7.378697629473819e+19,0.0,1.0103697841672915e+20,8.846747673099256e+19,7.378697629475572e+19,1.304381782529123e+20,6.651068162303298e+19,1.0270712426354085e+20,6.651068162302244e+19,9.223372036836567e+19,1.151998798170239e+20,1.0913240967819108e+20,1.8167935928615066e+20,1.3173610254168952e+20,9.406030799389512e+19,7.826290695188216e+19,1.5323016451517438e+20,7.144393258914836e+19,1.2511190542172158e+20,1.1371336747684626e+20,9.22337203684068e+19,1.3173610254166149e+20,9.2233720368429e+19,1.1811679407972552e+20,1.0103697841678675e+20,1.1666745337395829e+20,7.605787426448207e+19,9.761099463563608e+19,1.769349534608479e+20,7.826290695191767e+19,1.1519987981704839e+20,1.122071636572624e+20,6.118092869613129e+19,1.2511190542179998e+20,9.037022079251692e+19,1.01036978416798e+20
9.223372036835102e+19,1.23744521136714e+20,1.509931077353199e+20,1.6395824769301384e+20,1.0756207731012313e+20,1.4641649195323807e+20,1.2096339023661182e+20,1.4872240533854916e+20,1.5211574852877668e+20,1.4986205729476746e+20,1.2511190542187189e+20,1.0270712426364572e+20,9.585209390951383e+19,1.3926986362582047e+20,0.0,1.1068046444204794e+20,9.933875699178796e+19,1.498620572947723e+20,9.585209390951298e+19,1.2912720851559567e+20,1.0270712426366866e+20,1.0913240967825903e+20,1.355553311884871e+20,1.3555533118847889e+20,1.9081460441943445e+20,1.4524980808575178e+20,1.251119054218705e+20,1.0435054260246816e+20,1.6704237213128675e+20,1.1220716365739698e+20,1.4407367692262416e+20,1.3302136324585272e+20,1.0756207731012888e+20,1.498620572947669e+20,1.1519987981701423e+20,1.4757395258925213e+20,1.3173610254177472e+20,1.3804279245024322e+20,1.0756207731008817e+20,1.2096339023664592e+20,1.8721400533142595e+20,9.585209390949017e+19,1.3804279245023184e+20,1.4048621740692116e+20,8.846747673103968e+19,1.4757395258926452e+20,1.0756207731016806e+20,1.2511190542189157e+20
